Matricola,Modello,Ore Motore, Percussione1,Percussione2,Percussione3,Scheda Lavoro,Data,Giorno,Mese,Anno,SPO_V,SPO_L,SPS_V,SPS_L,STD_V,STD_L,STR_V,STR_L,MNT_V,MNT_L,MF_L,MF_V,MNF_V,MNF_L,File
TMG17URE0276,ST1030,6581,0,0,0,414137,20200220,20,01,2020,3,,,,,,,,,,,,,,414137 - 20200123 - IMI FABI SPA - ST 1030 SCOOPTRAM - TMG17URE0276.pdf
TMG17URE0276,ST1030,6581,0,0,0,414137,20200221,21,01,2020,,8,,2,,,,,,,,,,,414137 - 20200123 - IMI FABI SPA - ST 1030 SCOOPTRAM - TMG17URE0276.pdf
TMG17URE0276,ST1030,6581,0,0,0,414137,20200222,22,01,2020,,2,,,,,,,,,,,,,414137 - 20200123 - IMI FABI SPA - ST 1030 SCOOPTRAM - TMG17URE0276.pdf
TMG17URE0276,ST1030,6581,0,0,0,414137,20200223,23,01,2020,3,,,,,,,,,,,,,,414137 - 20200123 - IMI FABI SPA - ST 1030 SCOOPTRAM - TMG17URE0276.pdf
DL10P0310,ST1010,30421,0,0,0,415586,20200721,21,06,2020,,,,,,,,,,,1,,,,415586 - 20200626 - IMI FABI SPA - ST1010 - DL10P0310.pdf
DL10P0310,ST1010,30421,0,0,0,415586,20200722,22,06,2020,,8,,2,,,,,,,,,,,415586 - 20200626 - IMI FABI SPA - ST1010 - DL10P0310.pdf
DL10P0310,ST1010,30421,0,0,0,415586,20200723,23,06,2020,,8,,2,,,,,,,,,,,415586 - 20200626 - IMI FABI SPA - ST1010 - DL10P0310.pdf
DL10P0310,ST1010,30421,0,0,0,415586,20200726,26,06,2020,1,7,,1,,,,,,,,,,,415586 - 20200626 - IMI FABI SPA - ST1010 - DL10P0310.pdf
TMG17URE0276,ST1030,7872,0,0,0,416488,20200724,24,06,2020,,8,,,,,,,,,,,,,416488 - 20200625 - IMI FABI SPA - ST1030 - TMG17URE0276.pdf
TMG17URE0276,ST1030,7872,0,0,0,416488,20200725,25,06,2020,,6,,,,,,,,,,,,,416488 - 20200625 - IMI FABI SPA - ST1030 - TMG17URE0276.pdf
